Timestamp,CameraLocation,Emotion,Confidence
2025-04-05 14:14:31.231,Museum Entrance,Sad,0.33260825276374817
2025-04-05 14:14:31.462,Museum Entrance,Sad,0.3601275086402893
2025-04-05 14:14:31.686,Museum Entrance,Sad,0.3422907590866089
2025-04-05 14:14:31.908,Museum Entrance,Sad,0.3462892174720764
2025-04-05 14:14:32.168,Museum Entrance,Sad,0.334213525056839
2025-04-05 14:14:32.410,Museum Entrance,Happy,0.7964643836021423
2025-04-05 14:14:32.636,Museum Entrance,Happy,0.9914244413375854
2025-04-05 14:14:32.859,Museum Entrance,Happy,0.9956499934196472
2025-04-05 14:14:33.088,Museum Entrance,Happy,0.994270920753479
2025-04-05 14:14:33.320,Museum Entrance,Happy,0.9964340925216675
2025-04-05 14:14:33.558,Museum Entrance,Happy,0.9965537786483765
2025-04-05 14:14:33.783,Museum Entrance,Happy,0.9694721698760986
2025-04-05 14:14:33.998,Museum Entrance,Neutral,0.8306691646575928
2025-04-05 14:14:34.210,Museum Entrance,Surprise,0.9460947513580322
2025-04-05 14:14:34.447,Museum Entrance,Surprise,0.9299483895301819
2025-04-05 14:14:34.668,Museum Entrance,Surprise,0.909396231174469
2025-04-05 14:14:34.884,Museum Entrance,Surprise,0.8359586596488953
2025-04-05 14:14:35.109,Museum Entrance,Neutral,0.4330906867980957
2025-04-05 14:14:35.334,Museum Entrance,Neutral,0.6232098340988159
2025-04-05 14:14:35.563,Museum Entrance,Surprise,0.6479270458221436
2025-04-05 14:14:35.785,Museum Entrance,Surprise,0.7045198678970337
2025-04-05 14:14:36.007,Museum Entrance,Neutral,0.6425314545631409
2025-04-05 14:14:36.233,Museum Entrance,Neutral,0.6008819937705994
2025-04-05 14:14:36.457,Museum Entrance,Neutral,0.49526163935661316
2025-04-05 14:14:36.681,Museum Entrance,Neutral,0.506026566028595
2025-04-05 14:14:36.904,Museum Entrance,Neutral,0.5790668725967407
2025-04-05 14:14:37.135,Museum Entrance,Neutral,0.5027808547019958
2025-04-05 14:14:37.382,Museum Entrance,Neutral,0.3525431454181671
2025-04-05 14:14:37.612,Museum Entrance,Disgust,0.5835528373718262
2025-04-05 14:14:37.833,Museum Entrance,Disgust,0.42865926027297974
2025-04-05 14:14:38.054,Museum Entrance,Neutral,0.39114007353782654
2025-04-05 14:14:38.280,Museum Entrance,Neutral,0.5298599004745483
2025-04-05 14:14:38.506,Museum Entrance,Neutral,0.4142899811267853
2025-04-05 14:14:38.727,Museum Entrance,Neutral,0.5209012627601624
2025-04-05 14:14:38.949,Museum Entrance,Neutral,0.428249329328537
2025-04-05 14:14:39.200,Museum Entrance,Neutral,0.5296359062194824
2025-04-05 14:14:39.558,Museum Entrance,Neutral,0.49740129709243774
2025-04-05 14:14:39.781,Museum Entrance,Neutral,0.5128247141838074
2025-04-05 14:14:40.006,Museum Entrance,Neutral,0.5318901538848877
2025-04-05 14:14:40.232,Museum Entrance,Neutral,0.48242995142936707
2025-04-05 14:14:40.454,Museum Entrance,Neutral,0.6277222037315369
2025-04-05 14:14:40.687,Museum Entrance,Neutral,0.6956372261047363
2025-04-05 14:14:40.917,Museum Entrance,Neutral,0.5217975974082947
2025-04-05 14:14:41.150,Museum Entrance,Neutral,0.6492300033569336
2025-04-05 14:14:41.383,Museum Entrance,Neutral,0.6220177412033081
2025-04-05 14:14:41.616,Museum Entrance,Neutral,0.542336106300354
2025-04-05 14:14:41.853,Museum Entrance,Neutral,0.6326485872268677
2025-04-05 14:14:42.106,Museum Entrance,Neutral,0.612699568271637
2025-04-05 14:14:42.669,Museum Entrance,Angry,0.3466225564479828
2025-04-05 14:14:42.670,Museum Entrance,Neutral,0.4490865468978882
2025-04-05 14:14:42.910,Museum Entrance,Neutral,0.5918188691139221
2025-04-05 14:14:43.146,Museum Entrance,Neutral,0.434389591217041
2025-04-05 14:14:43.376,Museum Entrance,Neutral,0.4268997013568878
2025-04-05 14:14:43.626,Museum Entrance,Neutral,0.4224396049976349
2025-04-05 14:14:43.860,Museum Entrance,Neutral,0.4615347981452942
2025-04-05 14:14:44.095,Museum Entrance,Neutral,0.4190567135810852
2025-04-05 14:14:44.328,Museum Entrance,Neutral,0.41078728437423706
2025-04-05 14:14:44.576,Museum Entrance,Neutral,0.5103405117988586
